Size,NumThread,Thread,Latency,,,,
256000B,16,3,43.93,,,,
256000B,16,4,48.81,,,,
256000B,16,5,48.48,,,,
256000B,16,6,48.44,,,,
256000B,16,7,47.76,,,,
256000B,16,8,49.95,,,,
256000B,16,9,50.2,,,,
256000B,16,10,49.12,,,,
256000B,16,11,50.59,,,,
256000B,16,12,50.51,,,,
256000B,16,13,53.19,,,,
256000B,16,14,51.74,,,,
256000B,16,15,53.3,,,,
512000B,1,0, 26.27ns,,,,
512000B,2,0, 29.02ns,,,,
512000B,2,1, 37.26ns,,,,
512000B,4,0, 30.93ns,,,,
512000B,4,2, 35.83ns,,,,
512000B,4,3, 39.86ns,,,,
512000B,4,1, 40.79ns,,,,
512000B,8,0, 44.03ns,,,,
512000B,8,5, 45.22ns,,,,
512000B,8,1, 44.05ns,,,,
512000B,8,4, 47.56ns,,,,
512000B,8,3, 45.67ns,,,,
512000B,8,6, 51.11ns,,,,
512000B,8,2, 51.23ns,,,,
512000B,8,7, 49.25ns,,,,
512000B,16,10, 47.28ns,,,,
512000B,16,4, 51.84ns,,,,
512000B,16,13, 49.96ns,,,,
512000B,16,12, 47.98ns,,,,
512000B,16,5, 48.43ns,,,,
512000B,16,6, 49.78ns,,,,
512000B,16,3, 51.31ns,,,,
512000B,16,1, 48.68ns,,,,
512000B,16,2, 51.35ns,,,,
512000B,16,15, 51.17ns,,,,
512000B,16,0, 55.33ns,,,,
512000B,16,14, 49.00ns,,,,
512000B,16,8, 51.50ns,,,,
512000B,16,11, 51.37ns,,,,
512000B,16,7, 51.68ns,,,,
512000B,16,9, 52.28ns,,,,
1024000B,1,0, 27.35ns,,,,
1024000B,2,0, 30.30ns,,,,
1024000B,2,1, 35.18ns,,,,
1024000B,4,1, 32.01ns,,,,
1024000B,4,0, 34.00ns,,,,
1024000B,4,3, 39.91ns,,,,
1024000B,4,2, 40.60ns,,,,
1024000B,8,4, 43.36ns,,,,
1024000B,8,1, 41.93ns,,,,
1024000B,8,5, 48.17ns,,,,
1024000B,8,2, 46.05ns,,,,
1024000B,8,0, 47.24ns,,,,
1024000B,8,3, 41.80ns,,,,
1024000B,8,7, 45.89ns,,,,
1024000B,8,6, 45.11ns,,,,
1024000B,16,1, 46.09ns,,,,
1024000B,16,7, 47.32ns,,,,
1024000B,16,8, 44.95ns,,,,
1024000B,16,6, 45.52ns,,,,
1024000B,16,3, 47.86ns,,,,
1024000B,16,0, 44.73ns,,,,
1024000B,16,14, 42.73ns,,,,
1024000B,16,5, 45.61ns,,,,
1024000B,16,15, 44.00ns,,,,
1024000B,16,9, 44.36ns,,,,
1024000B,16,13, 47.01ns,,,,
1024000B,16,10, 44.98ns,,,,
1024000B,16,11, 44.98ns,,,,
1024000B,16,2, 44.86ns,,,,
1024000B,16,12, 44.80ns,,,,
1024000B,16,4, 47.25ns,,,,
2048000B,1,0, 28.60ns,,,,
2048000B,2,0, 30.67ns,,,,
2048000B,2,1, 37.90ns,,,,
2048000B,4,1, 35.31ns,,,,
2048000B,4,2, 33.81ns,,,,
2048000B,4,0, 40.13ns,,,,
2048000B,4,3, 40.05ns,,,,
2048000B,8,7, 46.68ns,,,,
2048000B,8,1, 47.04ns,,,,
2048000B,8,2, 47.20ns,,,,
2048000B,8,6, 49.11ns,,,,
2048000B,8,4, 49.71ns,,,,
2048000B,8,5, 51.67ns,,,,
2048000B,8,3, 46.18ns,,,,
2048000B,8,0, 45.47ns,,,,
2048000B,16,6, 47.23ns,,,,
2048000B,16,8, 48.61ns,,,,
2048000B,16,1, 50.70ns,,,,
2048000B,16,11, 51.50ns,,,,
2048000B,16,0, 48.49ns,,,,
2048000B,16,4, 48.30ns,,,,
2048000B,16,3, 49.41ns,,,,
2048000B,16,10, 50.19ns,,,,
2048000B,16,14, 48.24ns,,,,
2048000B,16,13, 46.77ns,,,,
2048000B,16,5, 47.62ns,,,,
2048000B,16,15, 46.68ns,,,,
2048000B,16,9, 49.13ns,,,,
2048000B,16,12, 47.50ns,,,,
2048000B,16,2, 46.63ns,,,,
2048000B,16,7, 47.05ns,,,,
4096000B,1,0, 29.18ns,,,,
4096000B,2,0, 30.42ns,,,,
4096000B,2,1, 31.03ns,,,,
4096000B,4,1, 33.22ns,,,,
4096000B,4,0, 37.22ns,,,,
4096000B,4,2, 33.49ns,,,,
4096000B,4,3, 34.56ns,,,,
4096000B,8,0, 48.84ns,,,,
4096000B,8,3, 48.92ns,,,,
4096000B,8,6, 51.82ns,,,,
4096000B,8,5, 52.20ns,,,,
4096000B,8,4, 57.13ns,,,,
4096000B,8,2, 52.97ns,,,,
4096000B,8,7, 45.46ns,,,,
4096000B,8,1, 46.77ns,,,,
4096000B,16,9, 51.20ns,,,,
4096000B,16,10, 52.14ns,,,,
4096000B,16,5, 52.18ns,,,,
4096000B,16,12, 51.50ns,,,,
4096000B,16,7, 52.30ns,,,,
4096000B,16,8, 51.41ns,,,,
4096000B,16,1, 52.27ns,,,,
4096000B,16,2, 53.04ns,,,,
4096000B,16,0, 54.46ns,,,,
4096000B,16,14, 51.63ns,,,,
4096000B,16,4, 50.89ns,,,,
4096000B,16,13, 52.01ns,,,,
4096000B,16,3, 50.21ns,,,,
4096000B,16,11, 49.67ns,,,,
4096000B,16,6, 49.63ns,,,,
4096000B,16,15, 50.63ns,,,,
8192000B,1,0, 44.10ns,,,,
8192000B,2,1, 44.71ns,,,,
8192000B,2,0, 39.05ns,,,,
8192000B,4,1, 48.29ns,,,,
8192000B,4,0, 39.68ns,,,,
8192000B,4,2, 42.32ns,,,,
8192000B,4,3, 39.47ns,,,,
8192000B,8,7, 56.62ns,,,,
8192000B,8,1, 54.64ns,,,,
8192000B,8,6, 54.58ns,,,,
8192000B,8,3, 52.83ns,,,,
8192000B,8,0, 56.20ns,,,,
8192000B,8,4, 54.11ns,,,,
