Size,NumThread,Thread,Latency,
1024000B,16,9,39.17,
1024000B,16,11,39.12,
1024000B,16,10,38.63,
1024000B,16,6,38.33,
1024000B,16,15,40.7,
1024000B,16,12,39.59,
2048000B,1,0,29.15,
2048000B,2,1,27.72,
2048000B,2,0,28.18,
2048000B,4,1,27.88,
2048000B,4,2,28.84,
2048000B,4,3,30.25,
2048000B,4,0,30.47,
2048000B,8,0,41.66,
2048000B,8,6,42.06,
2048000B,8,4,39.21,
2048000B,8,1,38.83,
2048000B,8,3,40.58,
2048000B,8,7,40.1,
2048000B,8,5,38.34,
2048000B,8,2,40.73,
2048000B,16,4,43.27,
2048000B,16,14,44.89,
2048000B,16,7,46.96,
2048000B,16,5,44.41,
2048000B,16,0,44.73,
2048000B,16,3,44.54,
2048000B,16,8,44.23,
2048000B,16,11,44.41,
2048000B,16,10,43.63,
2048000B,16,2,43.85,
2048000B,16,9,43.98,
2048000B,16,1,44.37,
2048000B,16,6,45.89,
2048000B,16,12,45.22,
2048000B,16,13,46.29,
2048000B,16,15,46.7,
4096000B,1,0,26.69,
4096000B,2,0,27.34,
4096000B,2,1,27.63,
4096000B,4,2,30.16,
4096000B,4,1,30.31,
4096000B,4,3,31.32,
4096000B,4,0,31.24,
4096000B,8,0,43.75,
4096000B,8,6,42.84,
4096000B,8,2,42.81,
4096000B,8,5,42.83,
4096000B,8,7,42.15,
4096000B,8,4,41.94,
4096000B,8,3,44.59,
4096000B,8,1,53.1,
4096000B,16,7,44.1,
4096000B,16,2,43.55,
4096000B,16,5,43.39,
4096000B,16,3,42.76,
4096000B,16,1,44.24,
4096000B,16,15,44.61,
4096000B,16,4,42.4,
4096000B,16,6,44.76,
4096000B,16,12,43.03,
4096000B,16,0,43.56,
4096000B,16,13,42.15,
4096000B,16,8,44.82,
4096000B,16,10,42.74,
4096000B,16,11,43.74,
4096000B,16,14,42.75,
4096000B,16,9,44.26,
8192000B,1,0,36.28,
8192000B,2,0,37.15,
8192000B,2,1,39.29,
8192000B,4,1,44.91,
8192000B,4,0,39.27,
8192000B,4,3,41.1,
8192000B,4,2,46.29,
8192000B,8,7,50.39,
8192000B,8,5,50.38,
8192000B,8,6,46.6,
8192000B,8,4,47.46,
8192000B,8,2,49.99,
8192000B,8,3,46.06,
8192000B,8,0,45.52,
8192000B,8,1,44.42,
8192000B,16,0,48.11,
8192000B,16,3,48.1,
8192000B,16,2,46.93,
8192000B,16,5,45.33,
8192000B,16,15,46.44,
8192000B,16,8,46.66,
8192000B,16,12,47.59,
8192000B,16,11,45.56,
8192000B,16,9,47.17,
8192000B,16,4,45.68,
8192000B,16,1,47.11,
8192000B,16,14,46.86,
8192000B,16,6,46.76,
8192000B,16,7,47.65,
8192000B,16,10,46.72,
8192000B,16,13,47.67,
16384000B,1,0,63.36,
16384000B,2,0,57.53,
16384000B,2,1,53.07,
16384000B,4,3,38.63,
16384000B,4,0,49.65,
16384000B,4,2,42.43,
16384000B,4,1,55.51,
16384000B,8,4,54.62,
16384000B,8,0,58.4,
16384000B,8,1,52.61,
16384000B,8,5,52.5,
16384000B,8,6,52.75,
